f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,label
303.4950598978643,347.9192808626083,334.1307298186731,332.9676844376962,352.166830023079,388.05032056837695,381.05519311592457,356.54766837826446,448.53748382815206,450.4114657882958,455.2978927197837,487.8275629367189,450.61201576523445,417.989188053479,480.62020312445753,437.93129808950636,432.3115853351168,438.3440302134515,498.53631973921233,440.6861421254596,497.1318400461306,483.5418698874882,477.50913438788564,463.531546426348,446.1839687277224,427.57667153276697,436.97982223007335,429.98627914685716,456.19471585177536,385.1857870874878,354.1228187064613,409.7491341039295,396.0476347357212,412.2519101011828,408.3206721583137,470.55303022940655,413.77988167507453,417.6217869655861,387.7068483952207,417.4543555126929,391.99630944035954,377.2941815864899,361.80124897092423,277.3880613050543,325.54497120086825,329.54191073286455,301.41835482273075,271.74760127614974,290.29471027579615,271.2875513631312,228.024034842936,196.6873292974319,248.70156158813137,197.23658205781248,210.60316314054148,242.77737769411988,217.1226631990824,233.7647810827895,227.79710908144094,192.92278243087503,0
456.0469599382973,481.5328384341375,490.9180497660339,477.58805635688896,473.46949388302147,474.33898251992326,456.98476161148204,387.45587275593095,395.608123004865,406.54600721103736,401.2457800216517,340.40002911342134,407.50129561758854,347.44782662595924,346.27602291383204,276.7501782628814,311.1430795753064,302.608674407751,302.9298481060911,305.36565733611843,262.64452366531094,271.62659117045564,275.81156405628985,304.12405529173026,294.4123145782545,270.01335429662873,218.31285837926765,240.5270044611403,260.58149318045974,246.14840593129077,215.30448816729003,285.2462978529307,285.2879613737765,245.14928202563283,258.45199594645453,212.028144176845,269.2383133548046,318.61656127584206,288.861631867734,333.8994801714214,399.81957517508624,357.1709428383932,318.83454751515217,337.855417516475,335.47365516233623,346.5299762571581,341.7336443591935,361.3144355335477,366.12074093814067,326.1567265657382,311.8523058301177,236.44860589494402,241.6125540446782,261.64416239391875,265.5243770029606,266.44812923573,297.1966452916376,362.20184957249535,293.8315183837134,327.73477893224265,0
258.4499704154807,320.4076089059919,286.85967831157194,283.9663192370503,268.5158262587481,308.0252416429703,278.33403450338193,282.84984700721793,337.7477072580882,375.41201215803017,283.18518680691915,352.3766196091163,341.90201896984775,301.1714821659509,244.77047309385927,176.06701565714363,203.13416575515686,211.27811535010255,246.53240919910718,285.16746512743896,235.38839352678394,250.04810944430233,233.16279389775914,277.985406036607,249.146530989403,215.72353952885518,260.7223954407732,237.4672909004854,265.5877653654756,260.49356375364925,314.1567319634555,287.66711385291865,271.43240850613216,311.99861319974787,256.75132833006313,248.2607931772893,284.3506550942085,246.92692218400538,255.89336215879223,337.6648154607708,271.7115993586273,334.7616786021359,360.64363955698946,350.71625969651103,302.38003160923404,343.2409080016446,298.50250382789744,345.677478925243,375.95207775289293,395.1520750085199,417.050587496301,410.93094998331725,452.0955081352251,487.1845811611005,457.4519733225245,458.7655653501901,429.64955202121445,518.0737280191166,507.62591408902614,476.5194171387104,0
157.1238094403221,792.6596690990102,201.10584248992686,225.2245096163913,199.30482084438177,690.5835445710245,134.50699333829596,216.56406776703633,963.3424259642042,205.01453091015932,124.19953483723812,159.31483072643525,216.44904146612217,207.47891147218795,196.4702673880408,868.3977946550638,204.73223701910334,811.9882267422972,182.15019143443354,135.21332307473514,165.37550162036862,149.70256651333395,218.9081501603005,139.36162427868422,874.7862225965321,225.9405187171671,243.93397511775726,216.1911892862906,209.87115758515898,716.2157206989177,799.3945016218144,157.71854946475906,144.9569507107874,908.9703913686245,902.1946532604776,173.75776142807146,917.1512886410151,202.3243030502111,204.4317209411375,207.78070146235632,242.5006357078104,134.20777419829156,162.84527015752514,132.89864131004435,144.86439137894175,184.19880752063128,229.31719682968517,133.58077639941732,200.042161005004,157.262927750971,218.82405135406754,207.46606377874969,111.08258666114452,153.8193862996059,209.46897819958713,226.28760385106776,146.37852498093878,149.1422473443078,158.69351722001537,171.72264446894178,1
486.35159347986615,598.2171081431865,669.7620888491944,711.5359014792289,673.9066665241314,640.0313657938166,484.084172247428,417.96712264686516,344.0912414372692,293.91860184002286,259.97840554384743,313.83914414637763,369.35185713719545,487.7842725987637,593.8281985801921,612.946685680105,713.9822385444829,687.7471648303665,628.5964259052895,546.7607333885826,410.471576454118,326.31929182157205,266.02390954566414,259.36638643315655,246.81537796901694,383.8452429333879,489.2087566005396,553.4665719240497,645.3652957025238,721.0468496515272,665.7908715897896,653.9856539841294,510.22002266446947,440.6078860431589,306.526838352933,281.19055701153906,256.2008152736495,294.6648846528549,349.7807401630997,474.85207151408025,563.9181646608297,642.4684699895698,724.7318281583981,742.632364357738,608.8786147224695,537.3372326050534,440.02841379836315,313.1909093922677,246.93043598707925,251.64641738847362,290.17235470636444,319.9342941854573,480.1098039771911,595.66195148829,670.0119488248948,693.1462574202474,656.2958758776762,633.3751322458519,513.3715359173383,414.8176860005765,1
131.0343852519992,252.56583517791478,250.1428531631845,874.7613995099398,211.93190911647542,192.10308412824972,177.28957936367703,226.15230668498407,165.33823366903383,220.08376425340583,764.5294130890154,230.0021296744502,207.23291169010415,147.62244890923108,214.44501420454336,128.67770640261406,202.9116804489395,214.24917415953792,236.2101813696897,165.6365888010874,220.927933351255,194.66550206257224,863.1070213869218,194.10094209428672,145.30862526826417,222.34937354245983,140.15098149598265,248.34883611635408,149.36469539904482,253.21934993885097,148.6105075420822,172.51878704820533,188.5890965909246,938.0079163674961,219.01587665647077,205.50699595143777,760.7786143845021,238.45284595718852,885.4947260628574,190.89994800092452,206.16159368315738,205.8422768937714,134.45343534152164,231.63067250854567,178.2470950968049,124.52742408579115,135.63382242576003,160.96290189963906,237.01287338958588,206.84692643606417,123.9494733391394,217.0858561568282,217.33987913356071,173.7407898784752,232.36736367266175,236.20000420614448,724.7150262410805,206.54282017897626,122.88674605964646,180.84191231035973,1
293.365926572814,329.0705902588615,235.67226591547472,228.78200805996573,246.8193531819912,206.9085681495154,232.71222742077276,265.13910446638477,259.32827474718164,246.39393627793052,227.92784593269323,203.2994104151448,204.6368963266871,225.57417645993576,178.19027243933402,136.44624120225578,209.11613829448117,224.78747732978005,256.9245658514263,267.23477681443046,281.60089564682403,298.3785665333631,315.1037935479446,356.2181763844635,358.4253517699895,361.22877774063835,394.41246118943235,405.16047732645603,369.99679626120724,424.02629367835175,423.68381150188736,442.03312210915476,422.37261291702316,406.26163865590445,351.54486914521095,358.5328569815683,389.71408980659567,401.76613536704303,429.6305734480337,436.5713128953587,428.6503613536733,443.80671366696504,424.96985227546594,392.31094279127893,410.8047042725461,426.8653554936672,460.05259880938183,482.1036525523444,498.6314842042117,445.0639493155522,484.03936227351534,486.56742203454223,485.5761230228115,515.4416706497758,429.1291411416408,442.4182303223758,468.6184668433554,448.31897221930353,453.9564285581073,460.36365764768885,0
193.78034254540563,234.0717304169386,275.3798769072097,257.5907153773479,314.8226067423075,341.61689501631344,364.159687104078,373.6418167105361,372.6720016153969,394.53651133927826,357.78059421748003,349.1395731220915,298.2019113245066,296.92942893309913,325.9469524534589,333.7484370556277,386.3979651346384,419.5602139670737,409.249018212428,399.02484178307225,392.34497455157754,481.5069177953462,443.46028772928446,455.2489439728846,439.51205910402206,462.70548020493146,448.6163951640361,471.006632040474,508.35263225282387,452.9142220381647,516.4296700097033,442.33465533807527,443.06311838402723,471.4314437306093,501.4189087298055,451.7349442184011,475.0599582253283,443.23550494688806,473.67695284031777,512.7213600926355,474.0370430021866,517.0252743282076,472.46240276682147,407.0653084784134,401.3334961251084,406.6600580642149,430.6715159582587,385.4193043060342,367.14825865445914,362.48929480930144,431.31604214801814,400.0270729412087,418.3873243118784,479.43324653783833,402.4889802290701,424.92130667823324,454.6352043965829,440.74192794602254,475.00601601666733,444.5250721228781,0
224.04069076719017,240.12030075090684,236.19736616267318,226.1185602387126,212.3082454046738,232.52229273489073,191.95463813360914,208.91408762175712,241.57222244710957,250.95309300844767,281.5524965586402,227.53882638675395,230.2864972368561,242.5872649079183,241.8083642709332,266.51304083859753,263.744684328107,273.6284279724777,315.1902058179035,313.9228609240856,313.01029229164305,279.12537971979475,278.03537653126375,302.6483002670679,393.72540372166,298.9056224362131,261.82622841544026,260.85687413391236,300.77858117184877,335.9357558021254,355.8854119776336,287.85557438912184,345.3090430593733,315.7042024628143,306.7315021227152,378.87794848871437,425.33712646759557,421.00398542704704,465.32186035877936,505.5124876250879,508.1628324862827,479.341078121903,492.3481609008743,375.338885260582,447.87629134736903,424.985261179365,402.7218505366069,400.96535136154876,453.7706963676187,456.2459203475438,494.34536794647613,483.30049480205577,500.46472879093056,480.8014757023071,462.91671934641016,476.0236191956687,437.07128421744346,461.56904357157595,465.4663005785846,491.854868426232,0
131.55950904061382,230.27846995104673,133.67285713201645,216.04433444320938,218.94501233976197,186.55008912366978,189.76700631656612,722.3767896341631,210.2581507158759,160.0387329794217,164.85878349824273,128.19830665191773,194.46575799830882,247.84517842569795,137.25693042984838,198.11100333988466,170.43066230836797,113.56544506785063,171.87085256451113,787.7371403926745,235.8859685780817,177.88725628936692,172.40082554470683,151.02338275555798,156.04765671287515,191.00326148675046,133.6144651578951,172.25927315485507,160.03409845274672,214.80801097549812,957.341331137125,256.4562135230484,721.893407765377,245.38175975776358,196.87234209516666,185.35620761111235,195.79271519326988,142.62120349225177,147.58886701654188,186.6290843101204,234.72155537955402,230.96833446669984,139.45314041711993,168.96624987695685,165.52358764670484,196.56012002649342,142.43116071224057,181.92431673181574,183.01597704077173,221.56039762411734,164.44719072569788,241.68089642510836,238.0272737315391,185.8192441767406,220.68086311157347,205.01029843750857,878.2645895972107,929.3602271550408,183.08854072789492,164.02921711612214,1
